b,d,converted,firstBit,secondBit,thirdBit,firstBitInvert,secondBitInvert,thirdBitInvert
101,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
102,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
103,239.9915789473684,11109994.736842103,1.0,1.0,0.9994736842105264,0.0,0.0,0.000526315789473597
104,239.90315789473684,11109371.05263158,0.9994736842105264,0.9992105263157894,0.9976315789473684,0.000526315789473597,0.0007894736842105621,0.002368421052631575
105,239.9663157894737,11109705.263157897,0.9997368421052631,0.9997368421052631,0.9994736842105264,0.000263157894736854,0.000263157894736854,0.000526315789473597
106,239.9663157894737,11109705.263157897,0.9997368421052631,0.9997368421052631,0.9994736842105264,0.000263157894736854,0.000263157894736854,0.000526315789473597
107,239.9115789473684,11107039.47368421,0.9997368421052631,0.9994736842105264,0.9986842105263158,0.000263157894736854,0.000526315789473597,0.001315789473684159
108,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
109,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
110,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
111,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
112,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
113,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
114,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
115,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
116,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
117,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
118,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
119,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
120,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
121,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
122,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
123,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
124,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
125,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
126,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
127,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
128,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
129,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
130,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
131,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
132,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
133,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
134,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
135,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
136,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
137,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
138,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
139,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
140,239.9957894736842,11109997.368421054,1.0,1.0,0.9997368421052631,0.0,0.0,0.000263157894736854
141,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
142,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
143,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
144,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
145,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
146,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
147,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
148,239.9915789473684,11109994.736842103,1.0,1.0,0.9994736842105264,0.0,0.0,0.000526315789473597
149,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
150,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
151,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
152,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
153,239.9915789473684,11109994.736842103,1.0,1.0,0.9994736842105264,0.0,0.0,0.000526315789473597
154,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
155,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
156,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
157,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
