b,d,converted,firstBit,secondBit,thirdBit,firstBitInvert,secondBitInvert,thirdBitInvert
101,252.0,11111100.0,1.0,1.0,1.0,0.0,0.0,0.0
102,252.0,11111100.0,1.0,1.0,1.0,0.0,0.0,0.0
103,252.0,11111100.0,1.0,1.0,1.0,0.0,0.0,0.0
104,252.0,11111100.0,1.0,1.0,1.0,0.0,0.0,0.0
105,252.0,11111100.0,1.0,1.0,1.0,0.0,0.0,0.0
106,252.0,11111100.0,1.0,1.0,1.0,0.0,0.0,0.0
107,252.0,11111100.0,1.0,1.0,1.0,0.0,0.0,0.0
108,252.0,11111100.0,1.0,1.0,1.0,0.0,0.0,0.0
109,252.0,11111100.0,1.0,1.0,1.0,0.0,0.0,0.0
110,252.0,11111100.0,1.0,1.0,1.0,0.0,0.0,0.0
111,252.0,11111100.0,1.0,1.0,1.0,0.0,0.0,0.0
112,252.0,11111100.0,1.0,1.0,1.0,0.0,0.0,0.0
113,252.0,11111100.0,1.0,1.0,1.0,0.0,0.0,0.0
114,252.0,11111100.0,1.0,1.0,1.0,0.0,0.0,0.0
115,252.0,11111100.0,1.0,1.0,1.0,0.0,0.0,0.0
116,252.0,11111100.0,1.0,1.0,1.0,0.0,0.0,0.0
117,252.0,11111100.0,1.0,1.0,1.0,0.0,0.0,0.0
118,252.0,11111100.0,1.0,1.0,1.0,0.0,0.0,0.0
119,252.0,11111100.0,1.0,1.0,1.0,0.0,0.0,0.0
120,252.0,11111100.0,1.0,1.0,1.0,0.0,0.0,0.0
121,252.0,11111100.0,1.0,1.0,1.0,0.0,0.0,0.0
122,252.0,11111100.0,1.0,1.0,1.0,0.0,0.0,0.0
123,252.0,11111100.0,1.0,1.0,1.0,0.0,0.0,0.0
124,252.0,11111100.0,1.0,1.0,1.0,0.0,0.0,0.0
125,252.0,11111100.0,1.0,1.0,1.0,0.0,0.0,0.0
126,252.0,11111100.0,1.0,1.0,1.0,0.0,0.0,0.0
127,252.0,11111100.0,1.0,1.0,1.0,0.0,0.0,0.0
128,252.0,11111100.0,1.0,1.0,1.0,0.0,0.0,0.0
129,252.0,11111100.0,1.0,1.0,1.0,0.0,0.0,0.0
130,252.0,11111100.0,1.0,1.0,1.0,0.0,0.0,0.0
131,252.0,11111100.0,1.0,1.0,1.0,0.0,0.0,0.0
